Review,Sentiment Scores,Compound Score,Sentiment Label
"Bought a jacket, very expensive ($400), but the quality is very bad. Got a defect, contacted them and they confirmed they will send a post label for a return / refund within next 2-3 business days. This was in November 2023... Despite many emails and confirmations that they would send the post label within few days, we are in March and still nothing.I think they charge hefty price for a bad quality and the after sale service is catastrophic, if not a fraud.Don't buy anything from this brand","{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.9646}",-0.9646,Negative
"Terrible customer service. UPS was supposed to deliver the parcel on the 3rd of May but they didn't even come by, they left it at a collection point 2.5km away! I contacted Lulu and they said that they are sorry but there is nothing they can do and it is UPS' fault so I can contact them if I want but there is nothing they can do. I called UPS who said they will try to redeliver in 2 days but they never did. Contacted Lulu again who again told me all they can do is pass on my complaint to UPS but I should not expect a response from UPS and there is nothing they can do about the parcel but it would be best if I just go and pick it up myself! We do know UPS is absolutely incompetent but I expected better customer service from Lulu.","{'neg': 0.095, 'neu': 0.835, 'pos': 0.07, 'compound': -0.4448}",-0.4448,Negative
Horrible service. They use DPD as a delivery partner and they went around with my package for 4 days without delivering it. DPD support is useless and so is Lululemon support.Answering very late and asking a bunch of security questions (lol) instead of actually helping. Will never order from here again. Should have checked the reviews beforehand. Stay away!I am looking to get my money back for my order.,"{'neg': 0.084, 'neu': 0.815, 'pos': 0.101, 'compound': -0.0752}",-0.0752,Negative
"ordered product on their website on cyber monday, waited weeks for delivery/tracking no movement on order status, then they finally said due to a ""system glitch"" they couldn't deliver the product, offered a refund. And lost out on sale prices (they would not honor those and re-order the product at the same price). Lame customer service, do what's right for them not the customer","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.8372}",-0.8372,Negative
I have purchased several of their products over the course of the last 9 years or so and never had an issue. I bought the license to train linerless shorts in October of 2023 and the threads are already coming off. I reached out to their customer service over 2 weeks ago with no reply. I followed up 2 days ago and still no reply. It makes no sense how a company as popular as lululemon has that bad of a customer service team. I will not be purchasing another product from them unless they resolve this issue.,"{'neg': 0.103, 'neu': 0.827, 'pos': 0.069, 'compound': -0.5106}",-0.5106,Negative
"Customer service is a disappointment. My $300 parcels got stolen, I got it on cam. I wrote to GEC explained the situation and sent the vid. Then I got an auto reply saying they start investigation process, it will take 6 days and they will get it touch. They never did, so after 3 weeks with no respond I contacted them via chat on a website. Only after that I got an email saying they’re unable to help and they won’t refund me. Thanks for nothing!","{'neg': 0.104, 'neu': 0.831, 'pos': 0.065, 'compound': -0.5255}",-0.5255,Negative
"They are falsely advertising prices on their website, upon adding the item I was looking at to the cart the price then increased. I contacted customer service about this and they refused to acknowledge the item was initially appearing for a cheaper price despite this happening on both my laptop and mobile, when I asked to complain they then just ended the chat session. The 10% off code for signing up for their emails also doesn't work. Overall very poor experience.","{'neg': 0.097, 'neu': 0.877, 'pos': 0.025, 'compound': -0.7178}",-0.7178,Negative
Order UK02253415. Ordered on 30th December 2023. Delivery said 3-5 working days. Checked today (15th January 2024) and was informed the courier never picked it up. It was lost. Online chat said they'd issue a refund then cut me off. No email to confirm the refund and the order status still shows as 'Shipped'. Appaling customer Service. I want my money back for an order that was never sent... Not difficult.,"{'neg': 0.114, 'neu': 0.868, 'pos': 0.018, 'compound': -0.7287}",-0.7287,Negative
They have changed the delivery service to Royal Mail and it’s a disgrace. If you make an order be expecting to wait a week for it . They send you a email saying you item has been shipped and it’s still sitting there 3 days later waiting to be picked up and the it’s Royal Mail cheapest delivery service. Completely unacceptable for a company that charges you premium prices for the clothes 👎🏻,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.8221}",-0.8221,Negative
Ordered leggings at £88 a considerable expense. Didn’t arrive after ten days of chasing they say they have been delivered to ups. They haven’t! Always giving themselves five days to respond. When asked for prof of delivery they can’t give you anything . Avoid because once they have your money they don’t have any kind of customer service. Also UPS are unreachable unless you have an account with them. Poor service,"{'neg': 0.076, 'neu': 0.892, 'pos': 0.032, 'compound': -0.4926}",-0.4926,Negative
"Don’t use this company unless you know exactly what you are buying. They have re-named customer service as a guest education centre - how patronising is that? Shoes I purchased were too small, despite using their guide and advice to measure my feet. It has taken 2 online chats and numerous emails for me to get a returns label (they don’t include it in the delivery) and the last email said I would receive another email in 3-5 days with my return information - nothing yet. I am beyond frustrated with my experience. Far and away the worst customer service I have ever experienced. Steer clear!!!","{'neg': 0.08, 'neu': 0.895, 'pos': 0.025, 'compound': -0.7767}",-0.7767,Negative
"I placed an order on the 22nd of Nov and never received the package.I contacted customer service on the 6th of Dec and they told me the package was back on your warehouse and that I will get a refund. I kept chasing this as I never received my money back. The last email was saying I would get it on the 9th of January - which didnt happened. Now I contacted again customer service and the incident was closed, a new is being opened and a new investigation needs to happen - this is not acceptable. It’s almost 2 months! Order number EU00989004Original incident number 231207-000286New incident number 240116-000709","{'neg': 0.02, 'neu': 0.946, 'pos': 0.034, 'compound': -0.2835}",-0.2835,Negative
Just awful customer service. They use UPS  to deliver in the UK. I didn’t receive my package. They told me I needed to contact UPS as they were unable to due to date privacy. What nonsense ! They paid for the courier and the sender and yet leave customers to deal with the incompetent courier service they use. Now I have no package and UPS are just as useless as lululemon  so will have to dispute this via my credit card company.,"{'neg': 0.199, 'neu': 0.773, 'pos': 0.029, 'compound': -0.9245}",-0.9245,Negative
"You can no longer use a giftcard online to purchase items on sale … you’d have to go in the store to have someone order it for you . It’s so inconvenient. Im going to shop at  Athleta , Beach Riot , and  Amazon instead . When I asked these questions to customer service ,they did not understand what I was asking even though I clearly stated it multiple times.","{'neg': 0.129, 'neu': 0.808, 'pos': 0.063, 'compound': -0.6722}",-0.6722,Negative
"I bought a yoga mat online in the sale after spending the afternoon researching the qualities of different mats. I paid for it through Paypal and everything went through correctly. To my horror I got an email the next day to say that my order had been cancelled, because of a stock issue.  They merely apologised for any inconvenience. What awful customer service! They did the same thing to a friend of mine last year. I won't buy from them again.","{'neg': 0.137, 'neu': 0.809, 'pos': 0.055, 'compound': -0.784}",-0.784,Negative
"Absolutely terrible service.  17 days after the order, the items are sent back to the sender.  I was following the UPS tracking and the parcel never made it anywhere near my address.  No contact attempted to me by Lululemon.  I telephoned them and they informed me that they cannot resend or reorder because their warehouse cannot process it.  So I have to wait 3 to 5 days for a refund, then if I wish. spend my time to process another order.  They are a high cost brand with a low cost customer offering.  The score on here says it all.  Awful company that need to audit their delivery service and sack everyone involved.","{'neg': 0.095, 'neu': 0.881, 'pos': 0.024, 'compound': -0.7902}",-0.7902,Negative
I contacted customer service and petting them know that i received a incomplete items. They sent it in 4 different delivery and waited until it was complete to deliver the 4 shipping thinking might be the other items might be in different packages but unfortunately no. Now they are saying they cannot do anything about it even replacement or refund. Just recommending tofl file a police report as if police here will do something about this. They do know that there's nothing gonna happen and they just let you to do this.,"{'neg': 0.066, 'neu': 0.934, 'pos': 0.0, 'compound': -0.7096}",-0.7096,Negative
"I recently had the misfortune of dealing with Lululemon's customer service, and it was a complete disappointment. For a brand that prides itself on quality and excellence, their customer service fell far short of expectations.I simply wanted to modify the size of an order I had placed a 1.20hr ago, but the representatives I spoke with seemed utterly incompetent. Despite explaining my situation clearly, they offered no viable solutions and seemed unaware of basic customer service protocols. As someone who works in customer care myself, I was shocked by their lack of knowledge and willingness to help.What's even more frustrating is that the issue was entirely their fault to begin with. Due to their system limitations, I was unable to make the modification directly, yet they refused to take responsibility for their own shortcomings.Overall, my experience with Lululemon's customer service was nothing short of a nightmare. It's truly disheartening to see such a renowned brand fail so miserably in an aspect that is crucial for customer satisfaction. I certainly won't be recommending Lululemon to anyone based on this dreadful encounter.","{'neg': 0.213, 'neu': 0.669, 'pos': 0.117, 'compound': -0.9729}",-0.9729,Negative
"I purchased an item I store at Bicester, when I got home the security tag was still on. Contacted Livechat Lululemon. They advised that I could take it back to the store to get the tag removed. I advised that would be a 7 hour round trip. They arranged for me to drop the item off at a UPS pick up point, an hour round trip. They received my item back 3 weeks ago and they still can’t tell me when I will receive my item. Customer services are extremely unhelpful. I have requested an escalation, it took me half an hour for the CS person to agree. Still no further forward. Outrageous retail business.","{'neg': 0.066, 'neu': 0.89, 'pos': 0.044, 'compound': -0.34}",-0.34,Negative
"Poor customer service. Placed an order the other day, payment still says ""pending"" even though I need the order to arrive by the 13th. 5 day turnaround on email responses, and no one bothers answering their live chat.","{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.7269}",-0.7269,Negative
I ordered items from online. They got the address wrong and 1 item went missing or was left in the wrong place. I contacted the customer service team and they promised a response. Its now almost 2 weeks and still no response. Terrible and unprofessional service!!. Its too late now for me to get a replacement as the item is unavailable!,"{'neg': 0.261, 'neu': 0.702, 'pos': 0.037, 'compound': -0.9369}",-0.9369,Negative
I am very disappointed in Lululemon. I did an online chat to change my shipping address to an order I had placed 90 mins previously. I was informed that the request had been put in. They couldn’t confirm the change of address and my package was delivered to the original address that I had tried to change. Such poor service. I will not be ordering from here again,"{'neg': 0.096, 'neu': 0.87, 'pos': 0.034, 'compound': -0.6361}",-0.6361,Negative
"Terrible customer service experience. Purchased two pairs of ABC pants in store. One didn’t work out so I went to exchange and was told I had to email their store (Carlsbad, CA). Yes, email the store I was actually standing in. I played along and did just that. After two weeks, no reply. I emailed their corporate email and two weeks later, nothing. I guess if they just ignore customers everything will be just fine? I wish I could run my company like this and still have throngs buying product! Horrible!","{'neg': 0.115, 'neu': 0.755, 'pos': 0.129, 'compound': -0.1984}",-0.1984,Negative
"Similiar to others, I purchased an item online, email indicated that it will be delivered by UPS on Thursday, however, I was home all day and the items never arrived. I later checked with customer service, apparently the item was delivered to a UPS pick-up centre quite far from me. Customer service told me to check the tracking in the future, not sure how that is going to help if UPS never attempted to deliver to my place in the first place. So disappointing, I would avoid buying online from now on.","{'neg': 0.085, 'neu': 0.887, 'pos': 0.029, 'compound': -0.6392}",-0.6392,Negative
"Customer service is terrible, do not help and send the same replies over and over. They don’t even acknowledge the issue just try to fob you off when their products are faulty. I will never order from them again after the customer service I’ve had. Quality of the items is not worth the price either.","{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.8087}",-0.8087,Negative
"Racist and uncaring customer service reps, portal issues. Inability to cancel orders within the hour. Copy and paste customer service GEC is a joke. The products have defects and flaws like loose strings or all out quality issues such as seams that are not stitched straight, wasp attitudes for items when an issue is brought up, they nitpick returns which they resell to the outlet anyway. Items that are easily over 150 bucks to have that much drama and baggage when you deal with them is a hard pass and ridiculous. My last interaction at Robson in Vancouver which is their flagship founder store dealing with a racist store customer agent and her manager was the last straw I won’t be shopping at this retailer ever again. All they have is customer service they can’t really compete on anything else their products are not even the same quality they used to be mostly outsourced work and down the tubes. Their classes and memberships are a rip off clearly these folks grew too fast and are now the titanic just hours before hitting the ice berg. I would NOT recommend them to anyone that I know.","{'neg': 0.121, 'neu': 0.825, 'pos': 0.053, 'compound': -0.9213}",-0.9213,Negative
I ordered a water bottle from Lululemon and was charged £48. When the item arrived it had a price tag of &£38 on it. I attended the store and also saw the bottle price was £38. I contacted Lululemon and was advised via a chat service to send a photo of the price tag attached to the bottle so that I could be refunded the £10 additional I had been charged. When I emailed the bottle I was told that I would not be refunded the £10. They said because i had been given a welcome discount code for 10% off the bottle this meant I was not able to have the £10 refunded to me. I have been charged £10 extra for a water bottle whether the discount was applied or not. The welcome code would have been applied to the correct £38 price as well. They are overcharging customers and their customer service is appalling. Will never purchase from this company again :(,"{'neg': 0.068, 'neu': 0.881, 'pos': 0.051, 'compound': -0.1779}",-0.1779,Negative
Very poor company. Ordered 13 October - 2-3 days delivery - wanted for my holiday. Took my money very quickly. But Didn’t arrive  on time. When it finally arrived message said it had to be ‘re-routed’.  Then although ordered from lululemon UK they sent a size US 6 trainer. So didn’t even bother opening. Couldn’t return anywhere nearby - had to travel 50 minutes in the car - then they didn’t take returns because they were an ‘outlet.’Nightmare trying to return and get in touch with customer service - links to returns didn’t work. Eventually got through to a chat and they emailed a label. Then the post office a several parcel stores did not take UPS. Had to travel from central City if liverpool to north - another twenty five minutes to get a shop that would take the parcel. Will never buy from them again! Fool if you do. I hope they are as quick to return my money as they were to take it!,"{'neg': 0.061, 'neu': 0.904, 'pos': 0.035, 'compound': -0.6626}",-0.6626,Negative
"Someone stole my card details and made purchases on this site.  Despite contacting customer service to block the transaction, the money was withdrawn.","{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative
"“The online service is absolutely horrible. Horrible. Horrible. Horrible."" - Lululemon Store Leader, Columbus Ohio…one of Lululemon’s own store leaders said it best!As a long-time admirer of lululemon, it pains me to say that my recent experiences have tarnished my perception of the brand. What was once perceived as a symbol of excellence in quality and customer service now appears to be a facade deteriorating due to disregard and disinterest.Quality issues have become alarmingly prevalent, with representatives admitting to a backlog in addressing customer concerns under their Quality Promise. Waiting up to 15 business days, or perhaps more, for a response hardly reflects a commitment to customer satisfaction. It's disheartening to learn that their quality queue is inundated with cases.Equally disappointing is the apparent reluctance of senior leaders to engage with customer feedback (i.e., respond via phone call, as requested). Despite attempts to communicate concerns, it seems that some voices are actively suppressed. Being apparently blocked via email by senior leaders like Sun Choe, Chief Product Officer, and Nikki Neuburger, Chief Brand Officer, speaks volumes about their receptiveness to constructive feedback and their dedication to customer service.Even attempting to escalate matters through traditional channels proves pointless, as contacting a supervisor or manager via customer service yields the dismissive response, ""we don't do transfers."" Such a stance only reinforces the impression that customer satisfaction is low on their list of priorities.In light of these revelations, I urge others to come forward and share their experiences and feedback, despite Lululemon's apparent attempts to shut out valuable voices.","{'neg': 0.113, 'neu': 0.771, 'pos': 0.116, 'compound': -0.4442}",-0.4442,Negative
They asked for a review for a product that has not even shipped. When I asked them where the product was a chatbot told me that it was being shipped. Fact is it has not left the warehouse despite being ordered almost a week ago. This is the 3rd time I have ordered product that was not delivered. Great product but very poor customer service.,"{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.7741}",-0.7741,Negative
"I very rarely take time to write reviews, so this shows how dissapointing this service has been. My parcel never arrived and lululemon took weeks with the investigation and had very poor customer service in the process. Completely unacceptable for this price range","{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.7708}",-0.7708,Negative
"I reached out to their customer service since several packages in a row were delivered late, one being a birthday gift and one that was supposed to be delivered before I left town. Since it wasn't delivered before I left, I would've missed the return date if it didn’t fit. I was informed that although every online order I've made gives an ""arrives by"" date, that date is actually an estimated delivery date and not a guarantee. The response to my frustration was that shipping is 2-6 business days and they'd pass along my frustrations. Of course, since those emails several weeks ago, it still says ""arrives by"" when ordering. I think the website is incredibly misleading and the customer service was useless and bordering on rude. If the shipping is 2-6 business days, there should be a range of delivery dates with the ""arrives by"" date being the latest of the range. For such expensive clothing, I was expecting a higher class of customer service. They clearly just want to make money and don't actually value customer satisfaction. I definitely would not want to support such a company.","{'neg': 0.116, 'neu': 0.795, 'pos': 0.089, 'compound': -0.7526}",-0.7526,Negative
"Horrible customer service (saf from instagram and eldwaldo via email) I ordered an item online as a gift for a relative. The relative decided they did not want it so I initiated a return online. The directions indicated to either 1. Print the label and drop off at a FedEx location or 2. Print the label and drop off in store. As my relative lives close to the store in Halifax NS (Halifax shopping centre location), she offered to drop it off. I do not live close to a store nor close to my relative. When she did go to the store, the lululemon store refused to put the money back on my credit card as she did not physically have the card. It was not indicated anywhere during the online return that she had to physically have my card in order to fully process the transaction.  Instead, they gave her a gift card for the value which I do not want. I want the refund back on my card but am now stuck with a gift card I will not use and cannot return. I contacted customer service via email and instagram who were both absolutely unhelpful and condescending  (saf on instagram and elwaldo via email). Lululemon, you have horrible customer service and as an aside, stop calling your employees educators. You sell overpriced poor quality clothes. You're not educating anyone.","{'neg': 0.109, 'neu': 0.844, 'pos': 0.047, 'compound': -0.8953}",-0.8953,Negative
Rubbish service and delivery. No reply on my order. I want a full refund as this item has not been delivered,"{'neg': 0.107, 'neu': 0.829, 'pos': 0.063, 'compound': -0.2263}",-0.2263,Negative
"Do not order online with lululemon. This is the second time I have ordere, and the delivery has taken a ridiculous length of time to arrive. I placed my order for a very expensive item of clothing on Friday the 13th of October - it is now the 23rd. 10 days later and no contact, and no order. I reached out on Thursday the 19th, and was told to get back in touch at the end of the day on Friday the 20th. When I did, their lines were closed. I have just been on a live chat with a girl who told me that my item was 'still within standard business day delivery' - then said later that she mistook the 8 for a 3 and that Royal Mail had an issue. I was never told about this, and when I expressed my concerns to the assistant, she told me that I was expected to get in touch with lululemon if my order doesn't arrive within 3-5 business days. I did this on Thursday the 19th - exactly within this time frame - and was told to come back another day when their lines were closed. When I told the assistant this she said that 'I ended the chat', seemingly implying that this was my fault... I am appalled at this poor customer service. The assistant did not help, just kept saying 'it is on it's way'. I should really hope so given that I've already waited 10 days and now have to wait another 2. Really frustrated with this and do not like their attitude and lack of help/contact.","{'neg': 0.088, 'neu': 0.894, 'pos': 0.017, 'compound': -0.9499}",-0.9499,Negative
"DO NOT ORDER FROM LULULEMON!!I made an order on January 18th, apparently I had not put in my street number in the order (impossible but there was no way to go back and check as I checked out as a guest); couple of days later I check the tracking from UPS which said that my order was on its way. After a week passed I started to worry because I hadn’t received my order yet and decided to contact UPS to follow up on my order. This was on Friday January 27th- already 9 days since I have placed the order. UPS said that they were missing the number from my street and for this reason they have not made the delivery already. I was shocked because first of all no one from the Lululemon customer service team contacted to ask for my house number so the delivery could be made. Anyways after UPS took my house number they told me that they would be delivering on Monday. I call today and UPS told me that they are cancelling and returning my order and that I should get in touch with the lululemon customer service. What??? No one from their customer service team called me to fix this, I had to chase the order, the order had a fake message for a long time saying that it was on the way to my house and they make the change and say that they will deliver and 2 days later they said that they cancel the order and will be refunding me??? On top of everything I have to now wait to receive the refund and go through the hassle or re ordering again- which I I’ll not as it is clear that this company doesn’t have a customer service team!!! This entire experience has made me very angry and made me waste a lot of time.","{'neg': 0.115, 'neu': 0.851, 'pos': 0.034, 'compound': -0.9841}",-0.9841,Negative
I received a gift card for my birthday upon trying to use it to make a purchase it says oops something went wrong went to speak with a customer service representative and they were giving me the run around telling me that a special team will reach out to me and i know that it is a lie and telling me to reply to an email i never received and i know that they outsourced there customer service to third world countries like Jamaica and so on lululemon is a fraud and a thief.,"{'neg': 0.106, 'neu': 0.774, 'pos': 0.12, 'compound': -0.1779}",-0.1779,Negative
I am absolutely shocked by the customer service i have never since such an incompetent customer service,"{'neg': 0.305, 'neu': 0.695, 'pos': 0.0, 'compound': -0.6901}",-0.6901,Negative
Cancelling the order without any notice. Impolite and unprofessional customer service. Worst customer service and shopping experience ever.,"{'neg': 0.362, 'neu': 0.552, 'pos': 0.086, 'compound': -0.7915}",-0.7915,Negative
Terrible customer service,"{'neg': 0.608, 'neu': 0.392, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negative
"Order never changed to shipped, though went to a shipping company.  After 8 days status never changed.  Finally got a hold of customer service and said the order is stuck in label. and your order is outside our shipping timeline. No explanation and didn't offer anything other than refund.  The order email said it was guaranteed and I asked and they said it would be refunded.  Just horrible response and not enough to make me buy there any more.  Telling my daughter buy at own risk.","{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.8316}",-0.8316,Negative
"Extremely awful customer service, shocking email response and rude staff. How they are still operating I don’t know. Shop with Sweaty Betty, much better experience and customer services. Even lululemon in store staff are rude, no idea where they hire these people from","{'neg': 0.267, 'neu': 0.678, 'pos': 0.055, 'compound': -0.8832}",-0.8832,Negative
"I don’t want to give Lululemon customer service one star as there is no service, but there is no lesser option. I placed my order on the 1st December, was told it was on its way and then received an email on 14th December saying wrong address. Impossible to get hold of anyone at Lululemon - tried web chat, email and phone. After waiting on the phone for 40 minutes on the third attempt, I finally got through having listened to their mood music and blurb about how we should all be nice to each other. The “educator” said my order had indeed been returned even though the address was correct,  that it could not now be sent out in time for Xmas and so she would issue a refund. When I started to complain about the poor service, the “educator” in question said that no one wanted to work in retail and put the phone down. I will NEVER buy from them again.","{'neg': 0.109, 'neu': 0.863, 'pos': 0.028, 'compound': -0.9313}",-0.9313,Negative
Absolutely terrible customer service infact it doesn't exist.   Ypu can't talk to a real person and ypu can only write an email with a response that could take 3 to 4 days.  The delivery ticket has said waiting to be picked up for a week now and their website promised xmas delivery...I will never buy from them again,"{'neg': 0.06, 'neu': 0.896, 'pos': 0.044, 'compound': -0.2247}",-0.2247,Negative
"Horrible cs.. fix up!!!! I placed an order for pickup for a jacket that was only in stock in the size needed  30 mins away. Received a confirmation email that it would be ready in 24 hours. Called the next day for a status update, waited 25 mins to get through only to be told that it’s still in the processing phase and It would take 6-8 days to process, which I didn’t understand since it was a pickup.  So I hung up and contacted the store directly but couldn’t get through. The following day received an email that my order was cancelled with no explanation. So frustrated at this point, I called their cs # and yet again waiting over 40 mins before hanging up. I reached out via video chat and got through promptly. Agent I spoke to this time around was pleasant, but she couldn’t give reason why my order was cancelled given that that location the order dropped was still showing stock.  This jacket is a Christmas gift for my daughter, the only thing she really wants, so I will end up going in store to purchase it, but I will absolutely not be supporting this company again. Great clothing just terrible service, Not worth the hassle!!!!","{'neg': 0.114, 'neu': 0.81, 'pos': 0.076, 'compound': -0.823}",-0.823,Negative
"Both online and in-store experience were absolutely awful. I've been a loyal customer to Lululemon for years. This year mark the end of it, I can't understand how to still have customer after how they treat them. I've been contacting GEC chat multiple times, seriously got the chat closed to my face AT LEAST 30 times. 1. Ive never been disrespectful and 2. I was not AFK. They politely tell you to f*** off and close the chat without providing any assistance if they don't have an right-away copy/paste sentence to answer your question. GEC resolution team is just as bad as chat service. In 7 emails I have not received any useful feedback or assistance; again they send copy/paste paragraph. In a year i've bought over 10 pairs of leggings, two outdoor jacket, 7 joggers and multiple bras. Not a single item is still in good condition. Jackets are pilling like crazy inside, all my joggers waistband are folded in half and don't hold anything, leggings are all pilling as well, sport bras straps are now loose and i'm 32A, not 36DD. To me this is a MAJOR QUALITY ISSUE. However don't think of reaching out asking for assistance with a quality issue, they will ignore you, don't assist if they do respond and you will waste your time. I also had an employee telling me on the chat (transcription saved for reference) to hire a lawyer to contact Lululemon. In-store experience was just as terrible, i've been told my the sale representative that Lululemon never sold any Align in 28"" and to go shop somewhere else after I politely said I was looking for the lenght 28"" and couldnt find it on their shelves. (I have 4 pairs in Align 28 at home...) I've been waiting for over 6 months for resolution, still none. I never receive the promised gift card Resolution team told me I would receive for all the trouble and bad experience. Last correspondence after months of not receiving a reply was ""Oh we can't locate the mention of gift card."" Do yourself a favor and go shop somewhere else. Lululemon is now just a name, there's absolutely no reason to pay a high-end price for this cheap quality and awful customer service.","{'neg': 0.103, 'neu': 0.831, 'pos': 0.065, 'compound': -0.9215}",-0.9215,Negative
Poor customer service and the quality of the product is sliding downhill. Do they even remember what is business integrity?,"{'neg': 0.131, 'neu': 0.759, 'pos': 0.11, 'compound': -0.128}",-0.128,Negative
"Contacted the Lululemon customer service re a product I recently purchased which was defective and was told they are too busy with Xmas sales, but I should check back in the new year, when they may have time to address the situation ...... is this what you pay top $ for? Lousy product quality and even worse customer service.","{'neg': 0.193, 'neu': 0.773, 'pos': 0.034, 'compound': -0.882}",-0.882,Negative
"If i could give 0 stars I would have. Unbelievable how lululemon has one of the worst customer service online I have ever experienced. USPS obviously lost my package because I never received it and tracking from USPS stopped updating on 12/7. I placed my ordered on 11/21 and I have no refund or package. Their online chat is a joke. First, no one was available to chat waited for over an hour. Second time, Christian wanted me to wait and see if it would arrive and contact them on 12/13 if it hadn’t arrived. Lastly, contacted them again and they wanted to “trace” the package. I requested an immediate refund and was denied. NEVER will I order from lululemon online or in store. Poor customer service !!!","{'neg': 0.148, 'neu': 0.822, 'pos': 0.03, 'compound': -0.939}",-0.939,Negative
"My order experience has been horrible.  The first order I placed, I was sent the wrong item and after contacting customer service I was told the right item could was no longer in inventory.  I shipped the wrong item back and received a full refund.  I tried again placing a second order.  After not receiving any notification regarding shipment, I reached out to customer service for an update and never received a response.  Fifteen days after placing my order and still not receiving any communication other than an order confirmation email, I called to inquire about the status.  I sat on hold for 30-45 minutes waiting to speak with an agent.  The agent could not find any information in the system so a case was opened.  Later that day, I received an email update stating my order had been canceled due to inventory issues and apologized for the inconvenience.  The experience ordering has been horrible, the communication has been horrible and all the way around has left a bad taste in my mouth for product I was beginning to really love.  I'm so disappointed.  Just terrible.  Avoid","{'neg': 0.169, 'neu': 0.79, 'pos': 0.041, 'compound': -0.9768}",-0.9768,Negative
